year	mo	extent
1979	8	8.04
1980	8	7.98
1981	8	7.84
1982	8	8.14
1983	8	8.19
1984	8	7.77
1985	8	7.40
1986	8	7.98
1987	8	7.63
1988	8	7.89
1989	8	7.88
1990	8	6.80
1991	8	7.42
1992	8	7.93
1993	8	7.33
1994	8	7.64
1995	8	6.74
1996	8	8.18
1997	8	7.29
1998	8	7.51
1999	8	7.23
2000	8	7.17
2001	8	7.46
2002	8	6.60
2003	8	6.94
2004	8	6.85
2005	8	6.30
2006	8	6.50
2007	8	5.34
2008	8	5.91
2009	8	6.14
2010	8	5.87
2011	8	5.50
2012	8	4.72
2013	8	6.01
2014	8	6.08
2015	8	5.60
2016	8	5.37
2017	8	5.48
2018	8	5.61
2019	8	5.03
2020	8	5.08
