datetime,lightIntensity,temperature,relHumidity,ppmCO2
2022-01-05 13:02:24,42,24.12,52.34,29
2022-01-05 13:02:27,43,24.11,52.06,44
2022-01-05 13:02:30,43,24.12,51.90,49
2022-01-05 13:02:39,43,24.12,51.74,493
2022-01-05 13:02:43,29,24.11,51.34,502
2022-01-05 13:02:47,28,24.11,51.27,502
2022-01-05 13:02:51,28,24.12,51.11,502
2022-01-05 13:02:55,28,24.11,50.94,502
2022-01-05 13:02:59,27,24.11,50.79,502
2022-01-05 13:03:03,27,24.11,50.64,502
2022-01-05 13:03:07,29,24.11,50.51,502
2022-01-05 13:03:11,27,24.11,50.40,502
2022-01-05 13:03:15,27,24.12,50.30,502
